X,Y,Z,TYPE,STREET1,STREET2,STREET3,STREET4,INTERSECTI,GID
428237.214,5453752.692,0,DEADEND,"265",,,,"9033","61698"
426281.773,5449560.468,0,NORMAL,"317","1086",,,"9032","61699"
426300.297,5449596.999,0,DEADEND,"317",,,,"9031","61700"
425816.83,5449367.62,0,DEADEND,"1153",,,,"9025","61704"
428940.69,5446698.951,0,NORMAL,"1157","814",,,"7418","60040"
429031.382,5446553.058,0,NORMAL,"1157","85",,,"7417","60041"
428931.457,5446590.191,0,NORMAL,"85","814",,,"7416","60042"
428929.795,5446519.797,0,NORMAL,"1157","814",,,"7415","60043"
428990.404,5446496.898,0,NORMAL,"1157",,,,"7414","60044"
428987.531,5446443.374,0,NORMAL,"1157","585","113",,"7413","60045"
428957.82,5446231.96,0,NORMAL,"113","861",,,"7411","60047"
428630.579,5446371.154,0,NORMAL,"272","113",,,"7409","60049"
428872.242,5446376.368,0,NORMAL,"272","236",,,"7408","60050"
428865.084,5446291.547,0,DEADEND,"236",,,,"7407","60051"
428769.333,5446383.953,0,NORMAL,"668","272","184",,"7406","60052"
428770.394,5446352.571,0,DEADEND,"668",,,,"7405","60053"
428690.996,5446480.882,0,DEADEND,"184",,,,"7404","60054"
428691.022,5446542.267,0,DEADEND,"1162",,,,"7403","60055"
428503.464,5446610.293,0,DEADEND,"1162",,,,"7402","60056"
428602.601,5446550.451,0,NORMAL,"113","1162",,,"7399","60058"
427920.946,5446530.84,0,NORMAL,"522","445",,,"7398","60059"
427920.157,5446449.706,0,NORMAL,"36","522",,,"7397","60060"
428119.151,5446447.143,0,NORMAL,"187","36",,,"7396","60061"
428023.815,5446564.911,0,DEADEND,"600",,,,"7395","60062"
428021.565,5446449.305,0,NORMAL,"36","600",,,"7394","60063"
427951.16,5446745.428,0,NORMAL,"585","522",,,"7393","60064"
428125.184,5446715.277,0,NORMAL,"585","187",,,"7392","60065"
428210.488,5446594.425,0,NORMAL,"976","563",,,"7390","60067"
428365.217,5446632.501,0,DEADEND,"1153",,,,"7386","60071"
429139.457,5445071.31,0,TRAFFIC LIGHT,"792","424","278",,"7383","60073"
429024.672,5444808.08,0,DEADEND,"349",,,,"7381","60074"
428824.09,5443798.076,0,NODE,"777","896",,,"7380","60075"
428756.651,5443819.898,0,NORMAL,"896","279","280",,"7379","60076"
428696.88,5443808.253,0,DEADEND,"280",,,,"7378","60077"
428618.157284604,5443835.9492883,0,DEADEND,"782",,,,"7377","60078"
428652.262,5443908.759,0,NORMAL,"766","782",,,"7376","60079"
428787.575,5443980.645,0,DEADEND,"767",,,,"7375","60080"
428725.576,5443980.308,0,NORMAL,"767","896","766",,"7374","60081"
428724.687,5443906.884,0,NORMAL,"279","896","766",,"7373","60082"
428629.758,5443219.533,0,DEADEND,"670",,,,"7372","60083"
430727.755893586,5443220.67600454,0,NORMAL,"781","168",,,"7371","60084"
430314.11,5443715.767,0,NORMAL,"556","1197",,,"7370","60085"
430322.983,5443454.743,0,NORMAL,"812","556",,,"7369","60086"
430482.297,5451812.405,0,DEADEND,"102",,,,"8500","61185"
429913.858,5451681.848,0,DEADEND,"678",,,,"8498","61187"
430144.107,5451628.959,0,DEADEND,"314",,,,"8497","61188"
430017.373,5451431.364,0,DEADEND,"45",,,,"8496","61189"
429893.005,5451517.135,0,DEADEND,"221",,,,"8495","61190"
429914.005,5451549.797,0,NORMAL,"822","221",,,"8494","61191"
429876.262,5451587.032,0,NORMAL,"314","822",,,"8493","61192"
429844.583,5451825.392,0,NORMAL,"200","822","0000001285",,"8492","61193"
429976.311,5451594.509,0,NORMAL,"314","678",,,"8490","61195"
430071.872,5451477.468,0,NORMAL,"310","822",,,"8487","61198"
430104.057,5451467.305,0,NORMAL,"822","45",,,"8486","61199"
428844.149,5451537.055,0,NORMAL,"952","949",,,"8483","61200"
428993.556,5451605.57,0,NORMAL,"949","625",,,"8482","61201"
429172.159,5451406.973,0,DEADEND,"754",,,,"8480","61202"
429153.173,5451379.171,0,NORMAL,"754","625",,,"8479","61203"
428836.251,5451431.462,0,NORMAL,"1043","952","1025",,"8475","61205"
429087.429,5451428.577,0,NORMAL,"625","1025",,,"8474","61206"
429000.102865575,5451515.5896794,0,NORMAL,"625","622",,,"8473","61207"
429526.294,5451481.485,0,NORMAL,"632","1036",,,"8468","61210"
429439.794,5451427.567,0,NORMAL,"584","632",,,"8467","61211"
429483.036,5451386.012,0,NORMAL,"958","584",,,"8466","61212"
429770.647,5451441.926,0,NORMAL,"900","693",,,"8461","61215"
